id,name,type,organ,ontology_id
CL:0000359$$1306,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-third-digit-of-foot,lateral proper plantar digital artery of third digit of foot,AS,blood_vasculature,ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-third-digit-of-foot
CL:0000071$$1307,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1308,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1309,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1310,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:medial-proper-plantar-digital-artery-of-fourth-digit-of-foot,medial proper plantar digital artery of fourth digit of foot,AS,blood_vasculature,ASCTB-TEMP:medial-proper-plantar-digital-artery-of-fourth-digit-of-foot
CL:0000071$$1311,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1312,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1313,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1314,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:third-posterior-perforating-branch-of-plantar-arch,third posterior perforating branch of plantar arch,AS,blood_vasculature,ASCTB-TEMP:third-posterior-perforating-branch-of-plantar-arch
CL:0000071$$1315,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1316,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1317,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1318,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:superficial-branch-of-lateral-plantar-artery,superficial branch of lateral plantar artery,AS,blood_vasculature,ASCTB-TEMP:superficial-branch-of-lateral-plantar-artery
CL:0000071$$1319,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1320,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1321,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1322,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-fifth-digit-of-foot,lateral proper plantar digital artery of fifth digit of foot,AS,blood_vasculature,ASCTB-TEMP:lateral-proper-plantar-digital-artery-of-fifth-digit-of-foot
CL:0000071$$1323,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1324,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1325,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1326,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:medial-calcaneal-artery,medial calcaneal artery,AS,blood_vasculature,ASCTB-TEMP:medial-calcaneal-artery
CL:0000071$$1327,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1328,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1329,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1330,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001541,medial plantar artery,AS,blood_vasculature,UBERON:0001541
CL:0000071$$1331,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1332,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1333,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1334,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:43934,Deep medial plantar artery,AS,blood_vasculature,FMA:43934
CL:0000071$$1335,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1336,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1337,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1338,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:43933,Superficial medial plantar artery,AS,blood_vasculature,FMA:43933
CL:0000071$$1339,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1340,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1341,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1342,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0009040,deep circumflex iliac artery,AS,blood_vasculature,UBERON:0009040
CL:0000071$$1343,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1344,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1345,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1346,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001354,inferior epigastric artery,AS,blood_vasculature,UBERON:0001354
CL:0000071$$1347,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1348,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1349,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1350,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:70195,Artery of round ligament of uterus,AS,blood_vasculature,FMA:70195
CL:0000071$$1351,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1352,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1353,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1354,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0034693,cremasteric artery,AS,blood_vasculature,UBERON:0034693
CL:0000071$$1355,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1356,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1357,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1358,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:20701,Trunk of pubic part of inferior epigastric artery,AS,blood_vasculature,FMA:20701
CL:0000071$$1359,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1360,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1361,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1362,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001309,internal iliac artery,AS,blood_vasculature,UBERON:0001309
CL:0000071$$1363,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1364,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1365,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1366,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:69797,Anterior division of internal iliac artery,AS,blood_vasculature,FMA:69797
CL:0000071$$1367,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1368,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1369,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1370,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:18871,Inferior gluteal artery,AS,blood_vasculature,FMA:18871
CL:0000071$$1371,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1372,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1373,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1374,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
UBERON:0001311,inferior vesical artery,AS,blood_vasculature,UBERON:0001311
CL:0000071$$1375,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1376,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1377,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1378,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:20966,Prostatic part of inferior vesical artery,AS,blood_vasculature,FMA:20966
CL:0000071$$1379,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1380,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1381,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1382,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
FMA:18826,Middle rectal artery,AS,blood_vasculature,FMA:18826
CL:0000071$$1383,blood vessel endothelial cell,CT,blood_vasculature,CL:0000071
CL:1000413$$1384,endothelial cell of artery,CT,blood_vasculature,CL:1000413
CL:0000057$$1385,fibroblast,CT,blood_vasculature,CL:0000057
CL:0000359$$1386,vascular associated smooth muscle cell,CT,blood_vasculature,CL:0000359
ASCTB-TEMP:prostatic-arteriole,prostatic arteriole,AS,blood_vasculature,ASCTB-TEMP:prostatic-arteriole
